Date,Model,EECU (hours),Completed,EECU (hours/task)
2025-12-08,SIMS,0.2,65,0.003076923076923077
2025-12-08,SSEBop,1.4,69,0.020289855072463767
2025-12-08,eeMETRIC,5.6,48,0.11666666666666665
2025-12-07,PT-JPL,0.5,33,0.015151515151515152
2025-12-07,SIMS,0.2,74,0.002702702702702703
2025-12-07,SSEBop,1.4,86,0.01627906976744186
2025-12-07,eeMETRIC,5.8,77,0.07532467532467532
2025-12-06,DisALEXI,42.9,663,0.06470588235294117
2025-12-06,PT-JPL,0.4,30,0.013333333333333334
2025-12-06,SIMS,0.2,108,0.001851851851851852
2025-12-06,SSEBop,1.3,90,0.014444444444444446
2025-12-06,eeMETRIC,5.9,114,0.05175438596491228
2025-12-05,DisALEXI,38.300000000000004,398,0.09623115577889449
2025-12-05,PT-JPL,0.6,75,0.008
2025-12-05,SIMS,0.2,130,0.0015384615384615385
2025-12-05,SSEBop,1.6,114,0.014035087719298246
2025-12-05,eeMETRIC,6.0,75,0.08
2025-12-04,DisALEXI,41.8,212,0.1971698113207547
2025-12-04,PT-JPL,0.5,94,0.005319148936170213
2025-12-04,SIMS,0.2,118,0.0016949152542372883
2025-12-04,SSEBop,1.5,142,0.01056338028169014
2025-12-04,eeMETRIC,6.0,129,0.046511627906976744
2025-12-03,PT-JPL,0.5,105,0.004761904761904762
2025-12-03,SIMS,0.2,161,0.0012422360248447205
2025-12-03,SSEBop,1.5,161,0.009316770186335404
2025-12-03,eeMETRIC,6.1,130,0.04692307692307692
2025-12-02,SIMS,0.2,58,0.003448275862068966
2025-12-02,SSEBop,1.6,41,0.03902439024390244
2025-12-02,eeMETRIC,5.8,49,0.1183673469387755
2025-12-01,PT-JPL,0.6,68,0.008823529411764706
2025-12-01,SIMS,0.2,133,0.0015037593984962407
2025-12-01,SSEBop,1.6,120,0.013333333333333334
2025-12-01,eeMETRIC,5.8,105,0.05523809523809524
2025-11-30,PT-JPL,0.5,130,0.0038461538461538464
2025-11-30,SIMS,0.2,160,0.00125
2025-11-30,SSEBop,1.4,176,0.007954545454545454
2025-11-30,eeMETRIC,5.6,165,0.033939393939393936
2025-11-29,PT-JPL,0.5,32,0.015625
2025-11-29,SIMS,0.2,65,0.003076923076923077
2025-11-29,SSEBop,1.4,74,0.018918918918918916
2025-11-29,eeMETRIC,5.6,60,0.09333333333333332
2025-11-28,PT-JPL,0.5,81,0.006172839506172839
2025-11-28,SIMS,0.2,120,0.0016666666666666668
2025-11-28,SSEBop,1.5,126,0.011904761904761904
2025-11-28,eeMETRIC,5.8,104,0.055769230769230765
2025-11-27,PT-JPL,0.5,111,0.0045045045045045045
2025-11-27,SIMS,0.2,153,0.0013071895424836603
2025-11-27,SSEBop,1.4,158,0.008860759493670885
2025-11-27,eeMETRIC,5.6,142,0.039436619718309855
2025-11-26,PT-JPL,0.5,15,0.03333333333333333
2025-11-26,SIMS,0.2,73,0.0027397260273972603
2025-11-26,SSEBop,1.5,62,0.024193548387096774
2025-11-26,eeMETRIC,5.8,51,0.11372549019607843
2025-11-25,PT-JPL,0.3,3,0.09999999999999999
2025-11-25,SIMS,0.2,72,0.002777777777777778
2025-11-25,SSEBop,1.4,53,0.02641509433962264
2025-11-25,eeMETRIC,6.2,45,0.13777777777777778
2025-11-24,PT-JPL,0.5,91,0.005494505494505495
2025-11-24,SIMS,0.2,131,0.0015267175572519084
2025-11-24,SSEBop,1.4,135,0.01037037037037037
2025-11-24,eeMETRIC,5.9,120,0.04916666666666667
2025-11-23,PT-JPL,0.6,103,0.005825242718446602
2025-11-23,SIMS,0.2,167,0.0011976047904191617
2025-11-23,SSEBop,1.6,167,0.009580838323353293
2025-11-23,eeMETRIC,5.7,127,0.04488188976377953
2025-11-22,PT-JPL,0.6,202,0.0029702970297029703
2025-11-22,SIMS,0.2,245,0.0008163265306122449
2025-11-22,SSEBop,1.5,247,0.006072874493927126
2025-11-22,eeMETRIC,5.8,223,0.02600896860986547
2025-11-21,PT-JPL,0.5,86,0.005813953488372093
2025-11-21,SIMS,0.2,131,0.0015267175572519084
2025-11-21,SSEBop,1.5,137,0.010948905109489052
2025-11-21,eeMETRIC,5.8,124,0.0467741935483871
2025-11-20,PT-JPL,0.5,85,0.0058823529411764705
2025-11-20,SIMS,0.2,140,0.0014285714285714286
2025-11-20,SSEBop,1.5,143,0.01048951048951049
2025-11-20,eeMETRIC,5.9,134,0.04402985074626866
2025-11-19,PT-JPL,0.6,214,0.002803738317757009
2025-11-19,SIMS,0.2,257,0.0007782101167315176
2025-11-19,SSEBop,1.6,267,0.00599250936329588
2025-11-19,eeMETRIC,6.0,246,0.024390243902439025
2025-11-18,PT-JPL,0.5,61,0.00819672131147541
2025-11-18,SIMS,0.2,141,0.0014184397163120568
2025-11-18,SSEBop,1.5,104,0.014423076923076924
2025-11-18,eeMETRIC,6.0,93,0.06451612903225806
2025-11-17,PT-JPL,0.4,18,0.022222222222222223
2025-11-17,SIMS,0.2,70,0.002857142857142857
2025-11-17,SSEBop,1.4,72,0.019444444444444445
2025-11-17,eeMETRIC,5.5,38,0.14473684210526316
2025-11-16,PT-JPL,0.5,92,0.005434782608695652
2025-11-16,SIMS,0.2,145,0.0013793103448275863
2025-11-16,SSEBop,1.5,148,0.010135135135135136
2025-11-16,eeMETRIC,5.8,135,0.04296296296296296
2025-11-15,PT-JPL,0.5,154,0.003246753246753247
2025-11-15,SIMS,0.2,202,0.0009900990099009901
2025-11-15,SSEBop,1.5,213,0.007042253521126761
2025-11-15,eeMETRIC,5.8,187,0.03101604278074866
