Date,Model,EECU (hours)
2024-07-11,SSEBop,1.1
2024-07-10,SSEBop,1.0
2024-07-09,SSEBop,1.0
2024-07-08,SSEBop,1.2
2024-07-07,SSEBop,1.0
2024-07-06,SSEBop,1.0
2024-07-05,SSEBop,1.0
2024-07-04,SSEBop,1.2
2024-07-03,SSEBop,1.1
2024-07-02,SSEBop,1.1
2024-07-01,SSEBop,1.1
2024-06-30,SSEBop,1.1
2024-06-29,SSEBop,1.1
2024-06-28,SSEBop,1.1
2024-06-27,SSEBop,1.1
2024-06-26,SSEBop,1.2
2024-06-25,SSEBop,1.0
2024-06-24,SSEBop,1.2
2024-06-23,SSEBop,1.2
2024-06-22,SSEBop,1.2
2024-06-21,SSEBop,1.2
2024-06-20,SSEBop,1.2
2024-06-19,SSEBop,1.5
2024-06-18,SSEBop,1.5
2024-06-17,SSEBop,1.5
2024-06-16,SSEBop,1.5
2024-06-15,SSEBop,1.3
2024-06-14,SSEBop,1.6
2024-06-13,SSEBop,1.3
2024-06-12,SSEBop,1.3
2024-06-11,SSEBop,1.6
2024-06-10,SSEBop,1.5
2024-06-09,SSEBop,1.4
2024-06-08,SSEBop,1.7
2024-06-07,SSEBop,1.6
2024-06-06,SSEBop,1.7
2024-06-05,SSEBop,1.7
2024-06-04,SSEBop,1.6
2024-06-03,SSEBop,1.6
2024-06-02,SSEBop,1.6
2024-06-01,SSEBop,1.7
2024-05-31,SSEBop,1.7
2024-05-30,SSEBop,1.7
2024-05-29,SSEBop,1.2
2024-05-28,SSEBop,1.5
2024-05-27,SSEBop,1.2
2024-05-26,SSEBop,1.3
2024-05-25,SSEBop,1.6
2024-05-24,SSEBop,1.5
2024-05-23,SSEBop,1.3
2024-05-22,SSEBop,1.4
2024-05-21,SSEBop,1.2
2024-05-19,SSEBop,1.2
2024-05-18,SSEBop,1.6
2024-05-17,SSEBop,1.4
2024-05-16,SSEBop,1.5
2024-05-15,SSEBop,1.3
2024-05-14,SSEBop,1.5
2024-05-13,SSEBop,1.2
2024-05-12,SSEBop,1.4
2024-05-11,SSEBop,1.0
2024-05-10,SSEBop,1.7
2024-05-09,SSEBop,1.5
2024-05-08,SSEBop,1.6
2024-05-07,SSEBop,1.7
2024-05-06,SSEBop,1.4
2024-05-05,SSEBop,1.5
2024-05-04,SSEBop,1.6
2024-05-03,SSEBop,1.2
2024-05-02,SSEBop,1.7
2024-05-01,SSEBop,1.5
2024-04-30,SSEBop,1.5
2024-04-29,SSEBop,1.5
2024-04-28,SSEBop,1.5
2024-04-27,SSEBop,1.4
2024-04-26,SSEBop,1.6
2024-04-25,SSEBop,1.4
2024-04-24,SSEBop,1.4
2024-04-23,SSEBop,1.5
2024-04-22,SSEBop,1.8
2024-04-21,SSEBop,1.5
2024-04-20,SSEBop,1.4
2024-04-19,SSEBop,1.5
2024-04-18,SSEBop,1.2
2024-04-17,SSEBop,1.5
2024-04-16,SSEBop,1.5
2024-04-15,SSEBop,1.6
2024-04-14,SSEBop,1.6
2024-04-13,SSEBop,1.5
2024-04-12,SSEBop,1.5
2024-04-11,SSEBop,1.3
2024-04-10,SSEBop,1.6
2024-04-09,SSEBop,1.3
2024-04-08,SSEBop,1.3
2024-04-07,SSEBop,1.4
2024-04-06,SSEBop,1.6
2024-04-05,SSEBop,1.4
2024-04-04,SSEBop,1.4
2024-04-03,SSEBop,1.5
2024-04-02,SSEBop,1.6
2024-04-01,SSEBop,1.2
2024-03-31,SSEBop,1.5
2024-03-30,SSEBop,1.3
2024-03-29,SSEBop,1.4
2024-03-28,SSEBop,1.6
2024-03-27,SSEBop,1.8
2024-03-26,SSEBop,1.6
2024-03-25,SSEBop,1.6
2024-03-24,SSEBop,1.7
2024-03-23,SSEBop,1.7
2024-03-21,SSEBop,4.6
2024-03-19,SSEBop,4.0
2024-03-18,SSEBop,4.4
2024-03-15,SSEBop,1.2
2024-03-14,SSEBop,0.9
2024-03-07,SSEBop,1.0
2024-03-06,SSEBop,1.1
2024-03-05,SSEBop,1.0
2024-03-04,SSEBop,1.0
2024-03-03,SSEBop,1.0
2024-03-02,SSEBop,1.1
2024-03-01,SSEBop,1.2
2024-02-29,SSEBop,1.2
2024-02-28,SSEBop,1.1
2024-02-27,SSEBop,1.1
2024-02-26,SSEBop,1.1
2024-02-25,SSEBop,1.0
2024-02-24,SSEBop,1.0
2024-02-23,SSEBop,0.9
2024-02-22,SSEBop,0.9
2024-02-21,SSEBop,0.9
2024-02-20,SSEBop,0.9
2024-02-19,SSEBop,1.2
2024-02-18,SSEBop,0.9
2024-02-17,SSEBop,1.1
2024-02-16,SSEBop,1.1
2024-02-15,SSEBop,1.0
2024-02-14,SSEBop,1.1
2024-02-13,SSEBop,0.9
2024-02-12,SSEBop,1.0
2024-02-11,SSEBop,1.1
2024-02-10,SSEBop,1.1
2024-02-09,SSEBop,1.0
2024-02-08,SSEBop,1.1
2024-02-07,SSEBop,1.2
2024-02-06,SSEBop,1.2
2024-02-05,SSEBop,1.1
2024-02-04,SSEBop,1.2
2024-02-03,SSEBop,1.0
2024-02-01,SSEBop,1.1
2024-01-31,SSEBop,1.1
2024-01-30,SSEBop,0.8
2024-01-29,SSEBop,0.8
2024-01-28,SSEBop,1.1
2024-01-27,SSEBop,0.9
2024-01-26,SSEBop,1.0
2024-01-25,SSEBop,1.2
2024-01-24,SSEBop,1.1
2024-01-23,SSEBop,1.2
2024-01-22,SSEBop,1.2
2024-01-21,SSEBop,1.1
2024-01-20,SSEBop,1.2
2024-01-19,SSEBop,1.0
2024-01-18,SSEBop,1.3
2024-01-17,SSEBop,1.2
2024-01-16,SSEBop,1.2
2024-01-15,SSEBop,1.1
2024-01-14,SSEBop,1.1
2024-01-13,SSEBop,1.0
2024-01-12,SSEBop,0.8
2024-01-11,SSEBop,1.0
2024-01-10,SSEBop,1.1
2024-01-09,SSEBop,1.0
2024-01-08,SSEBop,1.3
2024-01-07,SSEBop,1.1
2024-01-06,SSEBop,1.2
2024-01-05,SSEBop,1.1
2024-01-04,SSEBop,1.1
2024-01-03,SSEBop,1.3
2024-01-02,SSEBop,1.1
2024-01-01,SSEBop,0.9
2023-12-31,SSEBop,1.0
2023-12-30,SSEBop,1.2
2023-12-29,SSEBop,1.2
2023-12-28,SSEBop,1.2
2023-12-27,SSEBop,1.1
2023-12-24,SSEBop,1.2
2023-12-23,SSEBop,1.1
2023-12-22,SSEBop,1.3
2023-12-21,SSEBop,1.2
2023-12-20,SSEBop,1.2
2023-12-19,SSEBop,1.2
2023-12-18,SSEBop,1.1
2023-12-17,SSEBop,1.1
2023-12-16,SSEBop,1.1
2023-12-15,SSEBop,1.0
2023-12-14,SSEBop,1.0
2023-12-13,SSEBop,1.3
2023-12-12,SSEBop,1.1
2023-12-11,SSEBop,1.2
2023-12-10,SSEBop,1.1
2023-12-09,SSEBop,1.1
2023-12-08,SSEBop,1.2
2023-12-07,SSEBop,1.0
2023-12-06,SSEBop,1.2
2023-12-05,SSEBop,1.0
2023-12-04,SSEBop,1.1
2023-12-03,SSEBop,1.1
2023-12-02,SSEBop,1.0
2023-12-01,SSEBop,1.0
2023-11-30,SSEBop,1.0
2023-11-29,SSEBop,1.1
2023-11-27,SSEBop,1.2
2023-11-26,SSEBop,1.0
2023-11-25,SSEBop,1.1
2023-11-24,SSEBop,1.1
2023-11-23,SSEBop,1.1
2023-11-22,SSEBop,0.9
2023-11-21,SSEBop,1.1
2023-11-20,SSEBop,1.1
2023-11-19,SSEBop,1.1
2023-11-18,SSEBop,0.9
2023-11-17,SSEBop,1.2
2023-11-16,SSEBop,1.1
2023-11-15,SSEBop,1.1
2023-11-13,SSEBop,1.0
2023-11-12,SSEBop,0.9
2023-11-11,SSEBop,1.0
2023-11-10,SSEBop,0.9
2023-11-09,SSEBop,0.9
2023-11-08,SSEBop,1.1
2023-11-07,SSEBop,1.0
2023-11-06,SSEBop,1.0
2023-11-05,SSEBop,0.9
2023-11-04,SSEBop,1.1
2023-11-03,SSEBop,0.9
2023-11-02,SSEBop,1.0
2023-11-01,SSEBop,1.0
2023-10-31,SSEBop,0.9
2023-10-29,SSEBop,1.1
2023-10-28,SSEBop,1.0
2023-10-27,SSEBop,1.3
2023-10-26,SSEBop,1.1
2023-10-25,SSEBop,1.0
2023-10-24,SSEBop,1.2
